rev,mou,totmrc,ovrmou,ovrrev,vceovr,roam,change_mou,change_rev,drop_vce,blck_vce,blck_dat,unan_vce,plcd_vce,recv_vce,comp_vce,comp_dat,custcare,ccrndmou,cc_mou,inonemin,threeway,mou_cvce,mou_rvce,owylis_vce,mouowylisv,iwylis_vce,mouiwylisv,peak_vce,peak_dat,mou_peav,opk_vce,opk_dat,mou_opkv,mou_opkd,drop_blk,attempt,complete,callwait,months,uniqsubs,actvsubs,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,marital,infobase,income,numbcars,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID
22.03,31.25,20.0,3.25,1.04,1.04,0.0,-13.25,-2.03,0.0,1.333333333,0.0,2.333333333,16.33333333,1.333333333,12.66666667,0.0,0.0,0.0,0.0,1.333333333,0.0,17.19,0.46,0.333333333,0.043333333,0.0,0.0,12.0,0.0,8.8,2.0,0.0,8.85,0.0,1.333333333,16.33333333,12.66666667,0.0,47,1,1,A,N,672,2034.0,1213.94,1179.75,2025.0,667,26.22,45.0,14.82,36,18,23,28.0,13.0,21.0,S,OHIO AREA,N,N,29.98999023,1.0,1.0,,0.0,0.0,O,6.0,S,M,9.0,1.0,0.0,N,U,U,Y,U,U,Y,1427.0,1000952
208.275,3626.25,104.98,816.75,98.01,98.01,0.0,410.75,49.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,1,1,A,N,70189,136445.0,8140.79,8014.9,135388.0,69503,178.11,3008.62,1544.51,3489,1972,192,3647.0,1995.0,212.0,U,MIDWEST AREA,Y,R,99.98999023,8.0,8.0,WCMB,0.0,0.0,,6.0,S,M,5.0,2.0,0.0,Z,U,U,U,U,U,Y,189.0,1000964
29.99,70.5,29.99,0.0,0.0,0.0,0.0,-33.5,0.0,0.666666667,1.0,0.0,7.666666667,46.0,10.33333333,37.0,0.0,0.0,0.0,0.0,6.666666667,0.0,68.99,11.34,0.0,0.0,0.0,0.0,36.33333333,0.0,55.55666667,5.333333333,0.0,24.77333333,0.0,1.666666667,46.0,37.0,0.0,50,1,1,A,N,2746,6515.0,2345.0,2281.52,6474.0,2727,46.56,132.12,55.65,82,32,30,78.0,33.0,30.0,S,CALIFORNIA NORTH AREA,N,R,9.989997864,3.0,2.0,,0.0,0.0,O,5.0,S,M,6.0,,0.0,R,U,U,U,U,U,Y,1109.0,1001019
34.13,133.25,29.99,23.0,4.14,4.14,0.0,-25.25,-4.14,0.666666667,0.333333333,0.0,8.333333333,48.0,3.333333333,38.66666667,0.0,0.0,0.0,0.0,1.666666667,0.0,91.96666667,9.563333333,1.666666667,3.593333333,0.0,0.0,27.66666667,0.0,61.16,13.66666667,0.0,40.37,0.0,1.0,48.0,38.66666667,0.0,48,1,1,A,N,1544,2668.0,1388.1,1362.03,2663.0,1539,30.96,60.52,34.98,142,48,36,108.0,47.0,33.0,U,GREAT LAKES AREA,N,N,29.98999023,2.0,1.0,,1.0,1.0,O,6.0,A,M,5.0,2.0,0.0,N,U,U,U,U,U,Y,623.0,1001100
31.2275,96.25,29.99,0.0,0.0,0.0,0.0,13.75,1.7325,1.333333333,0.666666667,0.0,11.66666667,67.0,5.0,53.33333333,0.0,0.0,0.0,0.0,5.0,0.0,49.19,2.683333333,7.666666667,2.533333333,0.0,0.0,52.0,0.0,47.71333333,6.333333333,0.0,4.16,0.0,2.0,67.0,53.33333333,0.333333333,48,1,1,A,N,2191,3505.02,1450.83,1418.15,3484.02,2177,30.83,75.74,47.33,92,61,31,80.0,53.0,31.0,S,NEW ENGLAND AREA,N,N,29.98999023,2.0,1.0,,0.0,0.0,O,1.0,S,M,8.0,1.0,0.0,N,U,U,U,U,U,Y,1434.0,1001147
29.305,43.25,24.99,0.0,0.0,0.0,1.065,-17.25,-1.065,0.333333333,1.0,0.0,4.666666667,26.33333333,1.0,20.33333333,0.0,0.0,0.0,0.0,0.666666667,0.0,17.88,0.916666667,2.0,1.45,0.0,0.0,16.33333333,0.0,13.03333333,5.0,0.0,5.763333333,0.0,1.333333333,26.33333333,20.33333333,0.0,45,1,1,A,N,1400,2417.0,1493.26,1430.33,2337.0,1357,33.26,54.35,31.56,49,32,30,38.0,25.0,29.0,C,MIDWEST AREA,Y,N,29.98999023,2.0,1.0,,1.0,1.0,O,3.0,M,M,7.0,1.0,0.0,N,U,U,U,U,U,Y,1308.0,1001505
19.95,11.25,19.95,0.0,0.0,0.0,0.0,7.75,0.0,0.333333333,0.0,0.0,0.0,6.0,0.0,5.666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.366666667,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.603333333,3.666666667,0.0,2.763333333,0.0,0.333333333,6.0,5.666666667,0.0,45,1,1,A,N,362,673.0,925.37,882.79,663.0,355,20.53,15.42,8.26,9,6,20,10.0,7.0,20.0,S,NEW ENGLAND AREA,N,N,29.98999023,1.0,1.0,,0.0,0.0,O,4.0,M,M,6.0,2.0,0.0,F,U,U,Y,Y,U,Y,1359.0,1001514
46.0725,94.75,40.8,0.0,0.0,0.0,1.41,113.25,-0.4425,0.0,0.0,0.0,8.333333333,33.66666667,4.666666667,25.33333333,0.0,0.0,0.0,0.0,2.333333333,0.0,48.24666667,5.78,2.666666667,2.736666667,0.0,0.0,22.0,0.0,38.58,7.333333333,0.0,15.44666667,0.0,0.0,33.66666667,25.33333333,0.0,43,1,1,A,N,2040,3864.6,1491.94,1433.88,3699.6,1950,35.85,92.49,48.75,57,26,47,46.0,26.0,39.0,C,MIDWEST AREA,Y,N,29.98999023,1.0,1.0,WC,1.0,0.0,O,10.0,M,M,6.0,1.0,0.0,P,Y,Y,Y,U,U,Y,1295.0,1001535
59.225,599.5,59.99,0.0,0.0,0.0,0.4875,424.5,-9.235,2.666666667,9.0,1.333333333,90.66666667,262.0,152.0,161.0,0.0,0.0,0.0,0.0,104.3333333,0.0,143.4233333,145.4333333,29.0,14.16333333,29.33333333,23.50666667,120.3333333,0.0,87.55333333,191.3333333,0.0,201.3033333,0.0,13.0,263.3333333,161.0,6.666666667,45,1,1,A,N,7851,11564.0,2186.75,2138.95,11487.0,7794,49.74,267.14,181.26,458,300,62,416.0,281.0,65.0,S,CENTRAL/SOUTH TEXAS AREA,Y,N,199.9899902,7.0,4.0,WCMB,0.0,0.0,O,8.0,M,M,7.0,3.0,0.0,H,U,U,Y,Y,Y,Y,45.0,1001587
5.25,0.25,5.0,0.25,0.25,0.25,0.0,-0.25,-0.25,0.0,0.0,0.0,0.333333333,1.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.286666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.286666667,0.0,0.0,1.0,0.666666667,0.0,49,1,1,B,N,7445,16253.0,1808.19,1726.29,16072.0,7364,36.73,341.96,156.68,0,0,5,0.0,0.0,5.0,U,HOUSTON AREA,N,N,29.98999023,1.0,1.0,,1.0,0.0,O,8.0,M,M,4.0,2.0,0.0,Z,U,U,U,U,U,Y,1461.0,1001590
19.2325,11.5,16.99,5.75,2.2425,2.2425,0.0,-4.5,-2.2425,0.666666667,0.0,0.0,1.333333333,7.333333333,2.333333333,5.333333333,0.0,0.0,0.0,0.0,1.666666667,0.0,12.32,2.383333333,0.0,0.0,0.0,0.0,7.666666667,0.0,14.70333333,0.0,0.0,0.0,0.0,0.666666667,7.333333333,5.333333333,0.0,48,2,2,A,N,524,1413.0,1118.07,1087.07,1400.0,519,24.71,31.82,11.8,13,5,20,24.0,11.0,22.0,S,GREAT LAKES AREA,N,R,9.989997864,3.0,2.0,,0.0,0.0,,,U,M,,,0.0,N,U,U,U,U,U,N,939.0,1001641
17.145,0.0,16.99,0.0,0.0,0.0,0.0,0.0,-0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,1,1,A,N,726,3448.0,1153.75,1099.41,3403.0,718,28.93,89.55,18.89,0,0,17,4.0,1.0,17.0,S,MIDWEST AREA,N,N,29.98999023,1.0,1.0,,0.0,0.0,,,B,M,,,0.0,N,U,U,U,U,U,N,1284.0,1001657
135.13,711.0,49.99,280.5,84.15,84.15,0.0,-202.0,-57.84,8.333333333,3.0,0.0,22.33333333,188.0,29.0,155.6666667,0.0,4.0,6.666666667,3.606666667,8.333333333,0.0,501.8133333,128.04,25.0,38.35333333,0.333333333,0.333333333,134.6666667,0.0,488.22,48.66666667,0.0,141.6333333,0.0,11.33333333,188.0,155.6666667,3.333333333,46,1,1,A,N,5046,16983.1,3073.93,3016.32,16947.1,5022,67.03,376.6,111.6,778,213,154,628.0,171.0,114.0,T,DALLAS AREA,Y,N,29.98999023,1.0,1.0,,0.0,0.0,O,4.0,M,M,6.0,1.0,0.0,N,U,U,U,U,U,Y,1390.0,1001681
18.415,29.25,16.99,0.0,0.0,0.0,0.0,-28.25,-2.275,0.333333333,0.0,0.0,5.0,15.0,0.0,9.666666667,0.0,1.333333333,6.666666667,6.16,0.0,0.0,25.44666667,0.0,0.0,0.0,0.0,0.0,7.666666667,0.0,17.20666667,2.0,0.0,8.24,0.0,0.333333333,15.0,9.666666667,0.0,44,1,1,A,N,623,2721.0,1052.77,993.52,2634.0,585,23.66,62.71,13.93,39,11,19,22.0,7.0,18.0,U,CALIFORNIA NORTH AREA,Y,N,29.98999023,1.0,1.0,WC,0.0,0.0,O,15.0,S,M,4.0,,1.0,N,U,U,U,U,U,Y,1342.0,1001698
76.665,886.5,75.0,0.5,0.195,0.0,1.365,78.5,-1.665,11.0,3.0,0.0,12.66666667,112.0,60.33333333,93.33333333,0.0,0.0,0.0,0.0,15.0,0.0,358.1833333,322.3666667,43.0,37.93666667,0.666666667,8.39,100.3333333,0.0,402.6166667,45.0,0.0,277.9333333,0.0,14.0,112.0,93.33333333,1.0,44,1,1,E,N,2394,8924.0,3874.44,3706.71,8627.0,2313,90.41,210.41,56.41,860,165,77,493.0,104.0,78.0,C,DALLAS AREA,Y,N,149.9899902,3.0,2.0,WCMB,1.0,0.0,O,13.0,S,M,9.0,1.0,0.0,S,U,U,U,U,U,Y,263.0,1001712
11.2375,166.5,10.0,0.0,0.0,0.0,0.0,-73.5,-1.2375,1.0,1.666666667,0.0,5.333333333,57.66666667,7.666666667,50.33333333,0.0,0.0,0.0,0.0,3.333333333,0.0,98.95,8.98,11.66666667,9.19,4.0,5.483333333,22.33333333,0.0,20.5,35.0,0.0,87.43,0.0,2.666666667,57.66666667,50.33333333,0.0,44,5,4,A,N,2450,6521.02,1258.42,1226.1,6510.02,2443,28.51,151.4,56.81,191,61,12,130.0,50.0,11.0,C,CENTRAL/SOUTH TEXAS AREA,Y,N,79.98999023,2.0,2.0,WCMB,1.0,1.0,O,15.0,U,M,6.0,2.0,0.0,N,U,U,U,U,Y,Y,382.0,1001759
540.99,3937.25,337.975,438.25,109.5625,109.5625,0.0,-675.25,-139.08,18.33333333,2.333333333,0.0,70.33333333,497.3333333,225.6666667,413.6666667,0.0,1.333333333,11.66666667,10.97,101.3333333,15.33333333,1454.156667,921.0866667,64.33333333,119.7066667,7.0,21.18,521.0,0.0,2100.1,44.33333333,0.0,275.1433333,0.0,20.66666667,497.3333333,413.6666667,12.0,44,1,1,A,N,14528,71210.0,10624.71,10559.25,71185.0,14522,377.12,2542.32,518.64,4162,834,587,4479.0,879.0,604.0,S,SOUTHWEST AREA,Y,N,199.9899902,6.0,3.0,WCMB,1.0,1.0,O,2.0,U,M,4.0,,0.0,U,U,U,U,U,U,Y,172.0,1002154
59.1925,147.5,54.98,0.0,0.0,0.0,0.0,42.5,1.2375,3.333333333,1.0,0.0,6.666666667,57.0,2.0,46.33333333,0.0,0.0,0.0,0.0,0.666666667,0.0,70.40333333,3.153333333,0.0,0.0,0.0,0.0,25.0,0.0,31.00666667,23.0,0.0,42.55,0.0,4.333333333,57.0,46.33333333,0.0,43,1,1,A,N,2760,6706.0,2522.74,2428.56,6407.0,2613,59.23,156.27,63.73,133,52,59,115.0,41.0,59.0,,SOUTH FLORIDA AREA,Y,N,149.9899902,2.0,2.0,WCMB,0.0,0.0,,,S,M,,,0.0,N,U,U,U,U,U,Y,64.0,1002212
45.7675,181.0,47.5725,0.25,0.0975,0.0,0.0,-181.0,42.1325,3.0,1.0,0.0,29.66666667,88.33333333,5.666666667,54.66666667,0.333333333,0.0,0.0,0.0,3.666666667,1.333333333,84.86333333,4.33,10.66666667,9.25,0.666666667,0.44,32.33333333,0.333333333,48.96666667,27.0,0.0,40.22666667,0.0,4.0,88.66666667,55.0,0.333333333,41,1,1,C,N,2446,5097.0,1220.84,1144.14,4993.0,2373,39.45,172.17,81.83,241,97,32,221.0,87.0,34.0,U,NEW YORK CITY AREA,Y,N,149.9899902,3.0,3.0,WCMB,0.0,0.0,O,7.0,S,M,7.0,1.0,0.0,H,U,U,U,U,U,Y,361.0,1002289
35.2375,86.25,44.99,0.0,0.0,0.0,0.0,1.75,-0.2475,2.666666667,1.0,0.0,14.33333333,55.33333333,12.33333333,38.0,0.0,0.0,0.0,0.0,8.333333333,0.333333333,41.96333333,10.86666667,18.33333333,18.14666667,3.0,2.936666667,42.33333333,0.0,49.81333333,5.333333333,0.0,3.016666667,0.0,3.666666667,55.33333333,38.0,0.333333333,43,1,1,A,N,341,552.0,859.86,799.88,536.0,329,28.57,19.14,11.75,86,47,35,45.0,25.0,35.0,C,DC/MARYLAND/VIRGINIA AREA,Y,N,149.9899902,3.0,2.0,WCMB,0.0,0.0,O,6.0,M,M,8.0,2.0,0.0,U,U,U,U,U,U,Y,99.0,1002355
70.545,291.0,29.99,101.0,30.3,30.3,9.2375,-21.0,-2.965,3.0,1.0,0.0,19.66666667,118.0,42.66666667,96.66666667,0.0,0.0,0.0,0.0,20.0,0.0,154.3166667,55.74,31.0,22.10333333,0.0,0.0,121.3333333,0.0,205.4566667,6.666666667,0.0,4.6,0.0,4.0,118.0,96.66666667,1.0,44,1,1,D,N,3073,6157.0,2031.9,1881.69,5788.0,2943,47.04,144.7,73.58,298,156,72,294.0,136.0,69.0,R,GREAT LAKES AREA,Y,N,29.98999023,2.0,1.0,,0.0,0.0,O,2.0,U,M,1.0,1.0,0.0,U,U,U,U,U,U,Y,1231.0,1002433
87.5325,445.5,69.99,85.75,34.3,34.3,0.9325,-440.5,-37.5425,8.333333333,4.333333333,0.0,41.66666667,238.3333333,91.0,187.6666667,0.0,1.333333333,2.333333333,1.533333333,51.33333333,0.0,216.0866667,149.7433333,10.33333333,9.72,0.0,0.0,232.6666667,0.0,316.43,35.66666667,0.0,49.4,0.0,12.66666667,238.3333333,187.6666667,3.333333333,44,1,1,CA,N,12519,22637.0,3064.53,2994.54,22410.0,12392,69.64,521.16,288.19,592,271,100,336.0,157.0,79.0,T,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,4.0,4.0,WCMB,0.0,0.0,,,U,,,,0.0,N,U,U,U,U,U,N,300.0,1002438
50.095,999.75,55.96,31.5,10.395,6.3,0.0,-235.75,-19.845,5.666666667,7.333333333,0.0,48.0,390.6666667,121.6666667,331.6666667,1.666666667,13.66666667,39.0,31.82,55.66666667,0.0,401.03,266.8766667,93.0,56.89666667,22.33333333,48.76666667,181.0,0.0,241.0433333,270.3333333,1.666666667,426.8666667,13.12333333,13.0,392.3333333,333.3333333,9.0,42,2,2,BA,N,10023,21935.0,1783.03,1722.33,21674.0,9880,57.41,722.47,329.33,1078,481,57,1297.0,551.0,71.0,S,MIDWEST AREA,N,N,129.9899902,5.0,4.0,WCMB,0.0,0.0,,,U,,,,0.0,U,U,U,U,U,U,N,310.0,1002487
47.985,492.0,59.99,0.0,0.0,0.0,0.0,-489.0,-0.495,4.0,6.0,0.0,36.0,170.6666667,45.0,125.6666667,0.0,2.0,10.0,8.72,21.66666667,0.0,233.4666667,105.2066667,24.33333333,18.97666667,6.666666667,16.28666667,86.0,0.0,164.1866667,83.66666667,0.0,174.4866667,0.0,10.0,170.6666667,125.6666667,4.333333333,42,1,1,A,N,8047,19453.0,2212.81,2150.6,19383.0,8012,56.59,510.08,210.84,655,239,48,661.0,244.0,48.0,U,SOUTH FLORIDA AREA,N,N,29.98999023,3.0,3.0,,0.0,0.0,O,4.0,S,M,9.0,1.0,0.0,J,U,U,U,U,U,Y,682.0,1002547
20.0725,39.75,16.99,2.0,0.7,0.7,0.0,13.25,2.6875,0.666666667,0.333333333,0.0,5.0,20.33333333,0.666666667,14.33333333,0.0,0.0,0.0,0.0,0.666666667,0.0,13.75,0.0,0.0,0.0,0.0,0.0,13.66666667,0.0,13.13666667,1.0,0.0,0.613333333,0.0,1.0,20.33333333,14.33333333,0.0,38,1,1,A,N,587,1117.0,744.23,703.89,1039.0,561,19.55,28.86,15.58,35,17,19,23.0,12.0,18.0,S,SOUTHWEST AREA,N,N,29.98999023,1.0,1.0,,1.0,1.0,O,15.0,M,M,7.0,,0.0,N,U,U,U,U,U,Y,1142.0,1002645
67.81,373.75,69.99,0.0,0.0,0.0,0.0,8.25,-1.98,4.333333333,3.0,0.0,25.0,166.6666667,21.0,134.3333333,0.0,0.333333333,0.666666667,0.426666667,14.66666667,0.0,151.1066667,17.75333333,12.33333333,10.78,0.0,0.0,131.3333333,0.0,142.0366667,24.0,0.0,26.82333333,0.0,7.333333333,166.6666667,134.3333333,0.666666667,39,3,1,B,N,6749,14023.0,3577.54,3297.17,13769.0,6636,89.11,372.14,179.35,371,198,69,400.0,204.0,69.0,R,SOUTH FLORIDA AREA,N,N,79.98999023,5.0,3.0,WC,0.0,0.0,,10.0,M,M,4.0,,0.0,U,U,U,Y,U,U,Y,775.0,1002777
34.7625,387.5,29.99,57.25,20.0375,20.0375,0.0,74.5,-3.5725,3.333333333,0.0,0.0,27.66666667,132.3333333,35.0,102.3333333,0.0,2.0,11.66666667,10.15,13.33333333,0.333333333,113.3966667,112.4333333,29.0,44.38666667,0.333333333,0.773333333,58.33333333,0.0,98.76666667,74.0,0.0,127.0633333,0.0,3.333333333,132.3333333,102.3333333,1.333333333,39,1,1,EA,Y,2534,4431.0,540.25,540.25,4383.0,2504,14.6,118.46,67.68,363,141,36,281.0,127.0,46.0,U,PHILADELPHIA AREA,N,N,129.9899902,3.0,2.0,WCMB,0.0,0.0,O,15.0,A,M,6.0,,0.0,S,U,U,U,U,U,Y,147.0,1002805
93.685,657.0,50.0,92.0,27.6,27.6,11.135,274.0,78.055,5.333333333,3.0,0.0,54.33333333,287.3333333,68.66666667,225.6666667,0.0,0.333333333,0.333333333,0.166666667,44.66666667,0.0,232.22,75.44666667,19.66666667,24.71666667,0.666666667,0.376666667,189.0,0.0,202.3633333,104.3333333,0.0,105.3033333,0.0,8.333333333,287.3333333,225.6666667,1.666666667,39,1,1,B,N,8882,15006.0,2502.26,2227.03,14858.0,8773,60.19,401.57,237.11,566,352,68,547.0,316.0,63.0,S,DALLAS AREA,Y,N,29.98999023,1.0,1.0,WC,0.0,0.0,O,10.0,M,M,5.0,1.0,0.0,N,U,U,U,Y,U,Y,1178.0,1002867
